DOCNUM;ARTIFACT;MODE;RESULT;TARGET;MESSAGE
0000000117698459;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698459_STAT.json;Frontend export completed.
0000000117698459;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698459_CTRL.json;Frontend export completed.
0000000117698459;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698459_CONTENT.xml;Frontend export completed.
0000000117698459;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698461;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698461_STAT.json;Frontend export completed.
0000000117698461;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698461_CTRL.json;Frontend export completed.
0000000117698461;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698461_CONTENT.xml;Frontend export completed.
0000000117698461;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698463;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698463_STAT.json;Frontend export completed.
0000000117698463;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698463_CTRL.json;Frontend export completed.
0000000117698463;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698463_CONTENT.xml;Frontend export completed.
0000000117698463;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698465;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698465_STAT.json;Frontend export completed.
0000000117698465;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698465_CTRL.json;Frontend export completed.
0000000117698465;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698465_CONTENT.xml;Frontend export completed.
0000000117698465;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698467;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698467_STAT.json;Frontend export completed.
0000000117698467;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698467_CTRL.json;Frontend export completed.
0000000117698467;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698467_CONTENT.xml;Frontend export completed.
0000000117698467;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698471;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698471_STAT.json;Frontend export completed.
0000000117698471;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698471_CTRL.json;Frontend export completed.
0000000117698471;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698471_CONTENT.xml;Frontend export completed.
0000000117698471;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698473;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698473_STAT.json;Frontend export completed.
0000000117698473;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698473_CTRL.json;Frontend export completed.
0000000117698473;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698473_CONTENT.xml;Frontend export completed.
0000000117698473;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698475;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698475_STAT.json;Frontend export completed.
0000000117698475;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698475_CTRL.json;Frontend export completed.
0000000117698475;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698475_CONTENT.xml;Frontend export completed.
0000000117698475;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698477;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698477_STAT.json;Frontend export completed.
0000000117698477;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698477_CTRL.json;Frontend export completed.
0000000117698477;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698477_CONTENT.xml;Frontend export completed.
0000000117698477;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698479;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698479_STAT.json;Frontend export completed.
0000000117698479;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698479_CTRL.json;Frontend export completed.
0000000117698479;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698479_CONTENT.xml;Frontend export completed.
0000000117698479;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698481;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698481_STAT.json;Frontend export completed.
0000000117698481;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698481_CTRL.json;Frontend export completed.
0000000117698481;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698481_CONTENT.xml;Frontend export completed.
0000000117698481;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698483;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698483_STAT.json;Frontend export completed.
0000000117698483;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698483_CTRL.json;Frontend export completed.
0000000117698483;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698483_CONTENT.xml;Frontend export completed.
0000000117698483;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698485;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698485_STAT.json;Frontend export completed.
0000000117698485;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698485_CTRL.json;Frontend export completed.
0000000117698485;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698485_CONTENT.xml;Frontend export completed.
0000000117698485;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698487;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698487_STAT.json;Frontend export completed.
0000000117698487;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698487_CTRL.json;Frontend export completed.
0000000117698487;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698487_CONTENT.xml;Frontend export completed.
0000000117698487;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698493;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698493_STAT.json;Frontend export completed.
0000000117698493;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698493_CTRL.json;Frontend export completed.
0000000117698493;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698493_CONTENT.xml;Frontend export completed.
0000000117698493;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698496;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698496_STAT.json;Frontend export completed.
0000000117698496;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698496_CTRL.json;Frontend export completed.
0000000117698496;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698496_CONTENT.xml;Frontend export completed.
0000000117698496;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698499;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698499_STAT.json;Frontend export completed.
0000000117698499;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698499_CTRL.json;Frontend export completed.
0000000117698499;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698499_CONTENT.xml;Frontend export completed.
0000000117698499;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698502;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698502_STAT.json;Frontend export completed.
0000000117698502;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698502_CTRL.json;Frontend export completed.
0000000117698502;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698502_CONTENT.xml;Frontend export completed.
0000000117698502;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698504;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698504_STAT.json;Frontend export completed.
0000000117698504;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698504_CTRL.json;Frontend export completed.
0000000117698504;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698504_CONTENT.xml;Frontend export completed.
0000000117698504;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698508;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698508_STAT.json;Frontend export completed.
0000000117698508;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698508_CTRL.json;Frontend export completed.
0000000117698508;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698508_CONTENT.xml;Frontend export completed.
0000000117698508;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698513;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698513_STAT.json;Frontend export completed.
0000000117698513;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698513_CTRL.json;Frontend export completed.
0000000117698513;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698513_CONTENT.xml;Frontend export completed.
0000000117698513;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698516;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698516_STAT.json;Frontend export completed.
0000000117698516;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698516_CTRL.json;Frontend export completed.
0000000117698516;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698516_CONTENT.xml;Frontend export completed.
0000000117698516;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698519;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698519_STAT.json;Frontend export completed.
0000000117698519;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698519_CTRL.json;Frontend export completed.
0000000117698519;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698519_CONTENT.xml;Frontend export completed.
0000000117698519;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698523;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698523_STAT.json;Frontend export completed.
0000000117698523;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698523_CTRL.json;Frontend export completed.
0000000117698523;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698523_CONTENT.xml;Frontend export completed.
0000000117698523;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
